Unnamed: 0.1,Unnamed: 0_x,filename,survey_name,order,base_name_x,text_x,Flesch_reading_x,num_word,speaker_gender,intensity,pitch,rate,complexity,trustworthy_x,lively_x,natural_x,boring_x,empathetic_x,respectful_x,cold_x,attractive_x,polite_x,engaging_x,politness,Duration,Min_Pitch,Max_Pitch,Mean_Pitch,SD_Pitch,Median_Pitch,MAS_F0,VCD2TOT_Frames,Min_Intensity,Max_Intensity,Mean_Intensity,SD_Intensity,Median_Intensity,Jitter,Shimmer,HNR,file_order,speaking_rate,Unnamed: 0_y,survey,order_in_survey,base_name_y,text_y,Flesch_reading_y,trustworthy_y,lively_y,natural_y,boring_y,empathetic_y,respectful_y,cold_y,attractive_y,polite_y,engaging_y
216,216,1_M_intensity_medium_pitch_high_rate_fast.wav,9,1,1_M_intensity_medium_pitch_high_rate_fast,1,79.77,17,M,medium,high,fast,79.77,0.3029776172764694,0.1762433167847295,0.2181192227349036,0.1768936955735454,0.1550629012149376,0.2184008048750333,0.2403036518793295,0.2602569649059063,0.2816074181315373,0.2391683479011039,0.656,3.8377777777777777,77.81054439278113,163.12704394756278,125.8830503683026,17.440491386311212,129.23001228462,238.8843842698309,0.5842105263157895,-323.7456546649262,77.8453774737762,71.46210138543334,89.39148678215187,69.89677684189428,0.0305546824456484,0.097350842383974,10.33051093014973,1,265.77880718008106,216,9,1,1_M_intensity_medium_pitch_high_rate_fast,1,79.77,0.2495371896989875,-0.715555427713318,-0.3336387042955754,-0.8252579614427713,-0.9140948323341788,-0.3721114532662329,-0.296607000414946,-0.0169612868067826,0.1029046729669563,-0.2020665525094713
217,217,2_M_intensity_x-soft_pitch_medium_rate_medium.wav,9,2,2_M_intensity_x-soft_pitch_medium_rate_medium,2,88.74,16,M,x-soft,medium,medium,88.74,0.2818235760686026,0.3658874865299755,0.2812909282092384,0.2189442232359915,0.1549777310925722,0.3029427094943001,0.3661690686701052,0.260202311,0.2817317775036131,0.2812711822899373,0.33,4.778185941043084,75.00063468753747,143.27142459018464,103.2426246368981,14.79066139544241,103.66745573307637,208.0299489476922,0.5970464135021097,-322.24870406409866,72.87133857036878,67.09242739628533,73.86484301901227,66.28117100473469,0.0282628312484979,0.0787277031009734,10.039275817652683,2,200.91306865099324,217,9,2,2_M_intensity_x-soft_pitch_medium_rate_medium,2,88.74,0.0629074188465949,0.782450682650852,0.1340354827273392,-0.4758235081658402,-0.9423858944421748,0.2421952504887131,0.7439779336801946,-0.0510697829753494,0.0494732799284231,0.1072689257690469
218,218,3_M_intensity_medium_pitch_low_rate_fast.wav,9,3,3_M_intensity_medium_pitch_low_rate_fast,3,98.21,14,M,medium,low,fast,98.21,0.218007678,0.1969585530844128,0.1758699360796103,0.3248258105792953,0.1126435769038052,0.2390962952554154,0.2613507326593386,0.2180274241699141,0.1758699360796103,0.218007678,0.47,2.4794104308390024,75.10345364940643,596.525617100776,147.99900977898162,164.17262185164432,86.52803286986956,582.5642438525786,0.3893442622950819,-325.1070445993768,75.04430334859921,69.01457659616509,104.25267566088488,68.25222264263101,0.0456790733223551,0.13987483074095,3.7200413232749554,3,338.79021784858514,218,9,3,3_M_intensity_medium_pitch_low_rate_fast,3,98.21,-0.3738394001720396,-0.5054115519581438,-0.6905168176608324,0.2909331463817077,-1.192299500852314,-0.1887341344693509,-0.1039867507327074,-0.3470728432137474,-0.6905168176608324,-0.3738394001720396
219,219,4_M_intensity_medium_pitch_medium_rate_slow.wav,9,4,4_M_intensity_medium_pitch_medium_rate_slow,4,87.72,19,M,medium,medium,slow,87.72,0.429537488751096,0.3027311356136678,0.3656561667300421,0.1766644201598031,0.2397838189077505,0.3240313264991025,0.2823344336224745,0.3449778825987192,0.3029624554136012,0.3026611273541705,0.78,5.352879818594104,75.00473311696878,143.24193411836973,96.23521991083702,12.19860271630629,93.86755120820575,166.45621530232853,0.7011278195488722,-324.85425835749453,76.55368585851889,71.25824462817754,70.18983569925919,71.32175189697537,0.025933821106858,0.0741275992855575,11.670562852666606,4,212.96947412120545,219,9,4,4_M_intensity_medium_pitch_medium_rate_slow,4,87.72,1.2801438786875696,0.3283836793153846,0.8418725545192313,-0.8268841874705265,-0.3191110254491989,0.4273005161914017,0.0260608959036927,0.578022520078197,0.2689618074470054,0.2806679994593705
220,220,5_M_intensity_medium_pitch_medium_rate_fast.wav,9,5,5_M_intensity_medium_pitch_medium_rate_fast,5,95.17,20,M,medium,medium,fast,95.17,0.1337321939086077,0.1758699360796103,0.2180274241699141,0.303916206648039,0.1338717151435516,0.2180274241699141,0.2615099998135836,0.1760292032338553,0.1549800780676551,0.1760292032338553,0.78,3.550430839002268,74.9816578178433,153.79382361742267,101.59958023670411,14.439092694984495,99.16664689071226,195.21733737570847,0.5227272727272727,-323.7190146657144,78.87963584434068,71.20228796765433,85.1962273821292,69.32671258769889,0.0394207851099516,0.1161623897960204,7.818131579142747,5,337.9871498460791,220,9,5,5_M_intensity_medium_pitch_medium_rate_fast,5,95.17,-1.0071942351496252,-0.6905168176608324,-0.3470728432137474,0.0865049838090525,-1.0800502459361765,-0.3470728432137474,-0.1500762045609661,-0.7366062714890912,-0.8681784232751953,-0.7366062714890912
221,221,6_M_intensity_medium_pitch_low_rate_slow.wav,9,6,6_M_intensity_medium_pitch_low_rate_slow,6,97.7,15,M,medium,low,slow,97.7,0.260062789969492,0.2178332492334998,0.3443382743114974,0.176505153005558,0.2180448231141322,0.3661690686701052,0.3240115805798015,0.260202311,0.3031937752135347,0.2812711822899373,0.27,4.177369614512472,74.86958714116942,573.2299666641533,96.804935659323,65.64923373802517,83.35554866640062,359.24791902133086,0.4855072463768116,-322.1038335954081,75.25953652327162,69.8711469048819,83.95501016312085,69.68110994432053,0.033421404143157,0.0948246220519214,6.4895599799748425,6,215.4465807558272,221,9,6,6_M_intensity_medium_pitch_low_rate_slow,6,97.7,0.0217862278112015,-0.3083253285957631,0.6551410627887873,-0.7807947336422677,-0.3945137574224345,0.7439779336801946,0.4005339592331095,-0.0510697829753494,0.2095399355786262,0.1072689257690469
222,222,7_M_intensity_x-loud_pitch_medium_rate_slow.wav,9,7,7_M_intensity_x-loud_pitch_medium_rate_slow,7,95.67,19,M,x-loud,medium,slow,95.67,0.3454015256440346,0.3873997465800934,0.3238000066991691,0.1549208403097519,0.219036021800981,0.3454015256440346,0.2393996677010373,0.3247735038529079,0.3036346245079094,0.3875392678150373,0.43,4.961043083900226,75.05774249628693,167.80762727680096,108.23881517818327,20.51389194404545,101.6140779177766,196.92570244927109,0.6450304259634888,-327.3593053098619,80.75732958422438,75.16488163807585,79.80929715692022,74.3448117504158,0.0282581503230081,0.0828413533946508,10.173993823459336,7,229.7903849494017,222,9,7,7_M_intensity_x-loud_pitch_medium_rate_slow,7,95.67,0.5739330329234329,0.9634664611987768,0.4867223880597809,-0.9484780941500724,-0.4623893692476682,0.5739330329234329,-0.2614884243778506,0.3310321213801204,0.12497773277971,0.8906104504122258
223,223,8_M_intensity_medium_pitch_medium_rate_fast.wav,9,8,8_M_intensity_medium_pitch_medium_rate_fast,8,92.12,13,M,medium,medium,fast,92.12,0.1128225899773513,0.1128225899773513,0.2184682734642888,0.2614050837719172,0.1338717151435516,0.1550323847940425,0.282598616818386,0.1970980743193567,0.1760292032338553,0.154960332148354,0.6,2.3226757369614512,76.58989070397921,137.07269650763155,103.63759618664096,14.750196486770244,98.0056822663744,222.9738644214916,0.5982532751091703,42.0749123339365,75.48371771592618,70.75771744215953,6.619948584661635,70.30295073410304,0.0266722719589519,0.1005291377028688,7.175729625416098,8,335.8195841062189,223,9,8,8_M_intensity_medium_pitch_medium_rate_fast,8,92.12,-1.2116223977222804,-1.2116223977222804,-0.4316350460126634,-0.2051338236272546,-1.0800502459361765,-0.908277398273608,0.0350290611417225,-0.5782675627446947,-0.7366062714890912,-0.8949449802334876
224,224,9_M_intensity_medium_pitch_low_rate_slow.wav,9,9,9_M_intensity_medium_pitch_low_rate_slow,9,95.67,20,M,medium,low,slow,95.67,0.3022005321404947,0.2389741729646896,0.2599907373238036,0.2191232363095376,0.197294486,0.2816643089143576,0.3035625718622209,0.2180645690334333,0.2817515234229141,0.2812711822899373,0.78,5.483492063492063,74.91673513378434,115.71148720747698,84.80212254156866,10.115846953771191,81.397280227784,87.691408251031,0.4311926605504587,-322.4902985535426,75.11985549662164,70.10131735274028,75.25556090746326,70.29702796361373,0.0255846319738625,0.0874548222530826,4.90335830282484,9,218.838649916054,224,9,9,9_M_intensity_medium_pitch_low_rate_slow,9,95.67,0.3384636452999943,-0.1633190378914871,0.035118645851322,-0.4951464050358066,-0.6450313738233484,0.1089968726748537,0.1383101508198305,-0.3677472004641423,0.0762398368867153,0.1072689257690469
225,225,10_M_intensity_x-soft_pitch_high_rate_slow.wav,9,10,10_M_intensity_x-soft_pitch_high_rate_slow,10,94.66,21,M,x-soft,high,slow,94.66,0.4086781471600359,0.3029406651081089,0.3663111295752909,0.2392729613538786,0.303453567048172,0.3247211971265206,0.3023597992947397,0.3457180155663334,0.3456831077841643,0.3456308010577769,0.157,5.561859410430839,85.34188861095954,206.5418159815771,126.45404722115649,24.58601933008202,117.56842664929717,271.5992387943266,0.6057866184448463,-326.17273672896107,73.37535787780703,66.85632595268157,73.67339665125039,65.29229461991135,0.031369011344192,0.0827858723076774,10.255550121145063,10,226.54294310945133,225,9,10,10_M_intensity_x-soft_pitch_high_rate_slow,10,94.66,1.0966648390126363,0.3032433483848475,0.7783611954960881,-0.2822645025062968,0.2053487275458109,0.3711310963785331,0.2923741914717356,0.54280222316305,0.5354602839527756,0.5755592589511883
226,226,1_F_intensity_x-soft_pitch_medium_rate_medium.wav,9,11,1_F_intensity_x-soft_pitch_medium_rate_medium,1,79.77,17,F,x-soft,medium,medium,79.77,0.2818915399419087,0.344796825,0.2601282141725564,0.1127830981387492,0.1765751612650553,0.3240292821129114,0.2179204637420564,0.3243980787615975,0.2609819360106524,0.3029406651081089,0.656,4.752063492063492,114.39356595180874,235.9976494254692,166.77857681238982,27.231082410453755,163.0217837471301,257.4154503750717,0.6885593220338984,-325.9852950327827,75.87729352137787,67.4333847546847,80.2302921901651,66.68305548084828,0.0188598822917387,0.074856764584353,14.388088124074244,1,214.6435967666511,226,9,11,1_F_intensity_x-soft_pitch_medium_rate_medium,1,79.77,0.1716711965987434,0.6583935148442979,0.0233107329609055,-1.265155511638865,-0.7330790537862539,0.4883486140875362,-0.3410823643839014,0.4171188293287405,-0.0327569659739117,0.3032433483848475
227,227,2_F_intensity_medium_pitch_high_rate_fast.wav,9,12,2_F_intensity_medium_pitch_high_rate_fast,2,88.74,16,F,medium,high,fast,88.74,0.3029604110274101,0.2815181592367896,0.3233743192676625,0.2186449395627519,0.197501971445371,0.2182415377207883,0.24021185331434,0.3028183501222243,0.1341927891222834,0.2600058991866717,0.33,3.994512471655329,139.54852598571603,290.3354138226118,210.58220198850256,41.45694826239763,206.2622957137464,412.27116831866334,0.6515151515151515,-324.279894588102,79.47347445508366,71.82215571460475,87.76068893534288,69.5856241468507,0.0221362288806538,0.0791341576814911,13.419155834656763,2,240.3297040157132,227,9,12,2_F_intensity_medium_pitch_high_rate_fast,2,88.74,0.3300099053431398,0.196709806651229,0.5518599731106794,-0.5251654140496094,-0.609123606857751,-0.3260219994379742,-0.3100411393331179,0.2956266435272462,-1.0649898809902492,0.0156940281033041
228,228,3_F_intensity_medium_pitch_low_rate_slow.wav,9,13,3_F_intensity_medium_pitch_low_rate_slow,3,98.21,14,F,medium,low,slow,98.21,0.3443580202307985,0.3233414558716845,0.3444300728764869,0.2192455512954222,0.2391136941996336,0.3029624554136012,0.2820331055630438,0.3234484162995421,0.3876113204607258,0.2812909282092384,0.47,4.046757369614513,91.57758460276136,180.82303241562693,128.26107604113463,22.5956321908836,122.8147966732386,205.40903298530145,0.7182044887780549,-319.99875483751373,78.26187790414993,70.41808606185118,80.15384146006286,68.47454464268985,0.019440156642443,0.0709231236134635,13.099535046926414,3,207.57360110275576,228,9,13,3_F_intensity_medium_pitch_low_rate_slow,3,98.21,0.6819076197470796,0.4834699360042703,0.6685752017069593,-0.4875297001782052,-0.2361750486780381,0.2689618074470054,0.0377670879160579,0.4774794571744243,0.8772780323721054,0.1340354827273392
229,229,4_F_intensity_x-loud_pitch_medium_rate_medium.wav,9,14,4_F_intensity_x-loud_pitch_medium_rate_medium,4,87.72,19,F,x-loud,medium,medium,87.72,0.3030127177537974,0.3870786726013616,0.3021807862211936,0.2188067463872387,0.3031522389887414,0.3243129086392322,0.2391531860382357,0.3238523134255564,0.3454015256440346,0.3449211845110577,0.78,4.778185941043084,123.62878148291438,237.10507621155696,158.18456734678347,17.042410621140597,155.73651120471413,249.46001324383013,0.7616033755274262,-324.2588238301424,80.90177073825686,75.70409310507682,80.24845767197004,76.14204265174786,0.0180086035369074,0.0738338673526545,13.745829756941434,4,238.58426902305447,229,9,14,4_F_intensity_x-loud_pitch_medium_rate_medium,4,87.72,0.2899109303447271,0.9484060962528498,0.3116970883417021,-0.4640155952754236,0.217054919558176,0.3888277672207443,-0.1826419347614535,0.4466234130613682,0.5739330329234329,0.6049621218057647
230,230,5_F_intensity_medium_pitch_high_rate_fast.wav,9,15,5_F_intensity_medium_pitch_high_rate_fast,5,95.17,20,F,medium,high,fast,95.17,0.3236559014077922,0.3236559014077922,0.2812365770966599,0.2397858632939417,0.1975740240910594,0.2603792798917909,0.1973994023787874,0.2816774263910345,0.1764725921984718,0.2392383561606011,0.78,3.916145124716553,130.72672699354,264.1296867212481,197.916955413406,24.06852629714599,195.53155659938105,406.7594284394576,0.6237113402061856,-322.2471017661088,77.35101740367539,70.74746614183798,86.34390538777167,69.59765699880418,0.0271974768303827,0.0835967475635477,11.835922781622068,5,306.4237820059988,230,9,15,5_F_intensity_medium_pitch_high_rate_fast,5,95.17,0.5133872241400219,0.5133872241400219,0.2351825556218864,-0.3801591233453334,-0.6224560248978713,-0.0093445819491813,-0.5899737547570598,0.1506203528229703,-0.7139292016855627,-0.1543508726534573
231,231,6_F_intensity_medium_pitch_medium_rate_slow.wav,9,16,6_F_intensity_medium_pitch_medium_rate_slow,6,97.7,15,F,medium,medium,slow,97.7,0.3238720593448575,0.3235509853661257,0.2389218662383023,0.2192627575444815,0.239855872,0.3454015256440346,0.2187041773206552,0.3024821142806243,0.3241185410076591,0.3445675497252397,0.27,4.464716553287982,125.72035742620308,230.7633461428296,164.72914453812874,25.79897756899022,154.76631462973936,217.03427194308267,0.6207674943566591,-328.2313880916804,79.19447542286912,71.3073697748188,82.95861620336431,70.76875617737366,0.0248166486554563,0.064934309919693,13.223145837629268,6,201.5805458774772,231,9,16,6_F_intensity_medium_pitch_medium_rate_slow,6,97.7,0.4733899700196605,0.4583296050737334,-0.1232200628930743,-0.5680024158223576,-0.3324434434893194,0.5739330329234329,-0.4448657431747326,0.299990896329337,0.3945434804032635,0.6567672888165426
232,232,7_F_intensity_x-soft_pitch_low_rate_medium.wav,9,17,7_F_intensity_x-soft_pitch_low_rate_medium,7,95.67,19,F,x-soft,low,medium,95.67,0.3664703967295359,0.3240836332254899,0.2602220571237371,0.1977530371646055,0.2607131687583079,0.3454015256440346,0.2817317775036131,0.3240313264991025,0.3455410468789785,0.2394347681783654,0.43,4.203492063492064,90.92560404382466,182.1240100173923,133.0818585069697,20.886102014265028,129.9456814510297,245.646411923684,0.6546762589928058,-323.7194139088041,73.36450172790451,66.09881173498894,77.53620520254306,65.35178818506967,0.0285476640115565,0.0861489840296905,11.716992667548045,7,271.20308133826745,232,9,17,7_F_intensity_x-soft_pitch_low_rate_medium,7,95.67,0.7322717416678295,0.387201541192989,-0.0243032260170572,-0.6417789217678378,-0.0879163059182515,0.5739330329234329,0.0494732799284231,0.4273005161914017,0.501077022136882,-0.2211146837321109
233,233,8_F_intensity_medium_pitch_medium_rate_medium.wav,9,18,8_F_intensity_medium_pitch_medium_rate_medium,8,92.12,13,F,medium,medium,medium,92.12,0.3450281449389155,0.2394347681783654,0.2602220571237371,0.155294221014871,0.218664685482053,0.2609839803968435,0.2395219826869219,0.2817515234229141,0.2819610529173554,0.2604315866181783,0.6,3.263083900226757,81.4663464341058,235.18483210247228,159.92807712975062,24.274546665705177,154.91996510447132,316.39063968186395,0.6439628482972136,38.94501110117429,77.95792565578986,71.2920645589903,8.044812841396054,70.9145174188849,0.0212748270994304,0.0828551588425621,10.57318111684805,8,239.03767842003583,233,9,18,8_F_intensity_medium_pitch_medium_rate_medium,8,92.12,0.5989716429759187,-0.2211146837321109,-0.0243032260170572,-0.973516704202558,-0.4983988570913171,-0.0938050638700461,-0.2538717195202492,0.0762398368867153,0.0510995059561784,-0.0494435569475941
234,234,9_F_intensity_x-soft_pitch_medium_rate_slow.wav,9,19,9_F_intensity_x-soft_pitch_medium_rate_slow,9,95.67,20,F,x-soft,medium,slow,95.67,0.4084488717462936,0.2816622645281664,0.3446593482902292,0.1975040158315621,0.239696604,0.387309992,0.2394519744274247,0.3240313264991025,0.2820331055630438,0.3029624554136012,0.78,5.692471655328799,119.84443515090496,262.21823212981195,163.35953300946736,25.03659728928721,158.244144196285,206.95994111868887,0.7438162544169611,-325.50842443332294,75.58926947442137,67.69781100178656,73.30630662633682,67.58773239667744,0.0171734191898456,0.0592818504275404,15.375885019100334,9,210.80473872481457,234,9,19,9_F_intensity_x-soft_pitch_medium_rate_slow,9,95.67,1.0950386129848808,0.1700449705709881,0.6702014277347144,-0.6701717047538853,-0.2863539896610607,0.8889842243844706,-0.3015873993762633,0.4273005161914017,0.0377670879160579,0.2689618074470054
