,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,survey,fname,order_in_survey,trustworthy,lively,natural,empathetic,respectful,cold,engaging,text,Flesch_reading,num_word,gender,pitch,intensity,rate,mean_pitch,mean_intensity,Duration,speaking_rate,base_name,normalized_filename
852,852,852,852,852,852,852,25,7_F_intensity_soft_pitch_high_rate_slow.mp3,13,1.298524966,0.668909863,0.434616564,-0.194998539,0.723056333,-0.407693541,0.723056333,7,82.81,11,F,high,medium,slow,200.4636021138876,35.272152973434864,3.866122448979592,170.71368243243242,7_F_intensity_medium_pitch_high_rate_slow,7_F_intensity_medium_pitch_high_rate_slow.mp3
853,853,853,853,853,853,853,25,7_M_intensity_medium_pitch_high_rate_medium.mp3,14,1.298524966,0.668909863,0.957349633,-0.247734103,0.09344123,-0.69613331,0.434616564,7,82.81,11,M,high,medium,medium,137.24628529103393,36.50890001249118,2.8973696145124714,227.79282170081552,7_M_intensity_medium_pitch_high_rate_medium,7_M_intensity_medium_pitch_high_rate_medium.mp3
854,854,854,854,854,854,854,25,8_F_intensity_soft_pitch_low_rate_medium.mp3,15,0.434616564,0.349332827,0.082491356,0.09344123,0.402068391,-0.440241713,0.167775092,8,96.18,9,F,low,medium,medium,135.9751248609589,63.31523136,1.9308390022675737,248.59659424544924,8_F_intensity_medium_pitch_low_rate_medium,8_F_intensity_medium_pitch_low_rate_medium.mp3
855,855,855,855,855,855,855,25,8_M_intensity_loud_pitch_high_rate_medium.mp3,16,1.298524966,0.723056333,0.32773453,-0.194998539,0.668909863,-0.461840011,0.723056333,8,96.18,9,M,high,medium,medium,123.4149059191407,67.84466083252829,1.959183673469388,245.0,8_M_intensity_medium_pitch_high_rate_medium,8_M_intensity_medium_pitch_high_rate_medium.mp3
856,856,856,856,856,856,856,25,9_F_intensity_loud_pitch_high_rate_slow.mp3,17,0.200323265,0.254469735,-0.407693541,-0.716320701,0.434616564,-0.962974782,-0.033970035,9,83.32,5,F,high,medium,slow,203.23983388046287,70.20216417225538,1.750204081632653,171.40858208955223,9_F_intensity_medium_pitch_high_rate_slow,9_F_intensity_medium_pitch_high_rate_slow.mp3
857,857,857,857,857,857,857,25,9_M_intensity_soft_pitch_high_rate_medium.mp3,18,0.775791897,0.434616564,0.147587701,-0.140852069,0.167775092,-0.962974782,0.434616564,9,83.32,5,M,high,medium,medium,141.4583013,65.19668443147376,1.3300226757369615,225.56006410474987,9_M_intensity_medium_pitch_high_rate_medium,9_M_intensity_medium_pitch_high_rate_medium.mp3
858,858,858,858,858,858,858,25,10_F_intensity_soft_pitch_medium_rate_medium.mp3,19,0.957349633,0.616174299,0.349332827,-0.173400241,0.423666689,-0.973924657,0.690508161,10,90.77,6,F,medium,medium,medium,160.0923520644847,66.06587861558974,1.4083900226757369,255.6110127193689,10_F_intensity_medium_pitch_medium_rate_medium,10_F_intensity_medium_pitch_medium_rate_medium.mp3
859,859,859,859,859,859,859,25,10_M_intensity_soft_pitch_low_rate_slow.mp3,20,0.434616564,0.434616564,-0.429291838,0.09344123,0.434616564,-0.69613331,-0.088116505,10,90.77,6,M,low,medium,slow,190.6613953840813,64.17392043,1.721859410430839,209.07630310532832,10_M_intensity_medium_pitch_low_rate_slow,10_M_intensity_medium_pitch_low_rate_slow.mp3
860,860,860,860,860,860,860,26,1_F_intensity_soft_pitch_low_rate_slow.mp3,1,0.75676135,-0.432951122,0.50311264,-0.364402302,0.618001625,-0.089262724,0.246766034,1,100.75,9,F,low,medium,slow,131.77724749962135,26.98375954552251,3.030204081632653,178.20581896551724,1_F_intensity_medium_pitch_low_rate_slow,1_F_intensity_medium_pitch_low_rate_slow.mp3
861,861,861,861,861,861,861,26,1_M_intensity_loud_pitch_medium_rate_slow.mp3,2,0.663823887,0.270897547,-0.20099316,0.077562099,0.483743751,0.379930087,-0.124726689,1,100.75,9,M,medium,medium,slow,107.2294954362184,34.58084920635663,2.845124716553288,189.7983581732685,1_M_intensity_medium_pitch_medium_rate_slow,1_M_intensity_medium_pitch_medium_rate_slow.mp3
862,862,862,862,862,862,862,26,2_F_intensity_loud_pitch_low_rate_fast.mp3,3,0.113026065,0.137414709,-0.067771096,-0.073109636,-0.329456242,-0.856122551,0.647410025,2,92.29,9,F,low,medium,fast,131.40721179178175,26.651686550891142,2.1920634920634923,246.3432295438088,2_F_intensity_medium_pitch_low_rate_fast,2_F_intensity_medium_pitch_low_rate_fast.mp3
863,863,863,863,863,863,863,26,2_M_intensity_soft_pitch_high_rate_fast.mp3,4,-0.072591731,-0.010098478,-0.834113018,-0.108055697,-0.299012033,-0.640578451,0.385525758,2,92.29,9,M,high,medium,fast,130.3903460379812,15.01913540639721,2.061451247165533,261.95138048619515,2_M_intensity_medium_pitch_high_rate_fast,2_M_intensity_medium_pitch_high_rate_fast.mp3
864,864,864,864,864,864,864,26,3_F_intensity_medium_pitch_high_rate_fast.mp3,5,0.036759594,-0.077611487,-0.067253191,-0.381073295,0.072223559,-0.556133674,0.571143554,3,100.24,5,F,high,medium,fast,203.9370230015295,70.03036637,0.9643083900226758,311.1037953252128,3_F_intensity_medium_pitch_high_rate_fast,3_F_intensity_medium_pitch_high_rate_fast.mp3
865,865,865,865,865,865,865,26,3_M_intensity_medium_pitch_medium_rate_medium.mp3,6,0.61748372,-0.602155056,-0.252353082,-0.24231357,-0.001862921,-0.531227125,-0.067253191,3,100.24,5,M,medium,medium,medium,149.18574520134106,68.07385377,1.0687981859410431,280.6890991640853,3_M_intensity_medium_pitch_medium_rate_medium,3_M_intensity_medium_pitch_medium_rate_medium.mp3
866,866,866,866,866,866,866,26,4_F_intensity_loud_pitch_high_rate_slow.mp3,7,0.43238383,-0.09982014,-0.252353082,0.216839729,0.108006309,-0.74175147,0.64792793,4,115.13,7,F,high,medium,slow,198.0059358319848,70.81512551973734,1.878594104,223.57144581512688,4_F_intensity_medium_pitch_high_rate_slow,4_F_intensity_medium_pitch_high_rate_slow.mp3
867,867,867,867,867,867,867,26,4_M_intensity_soft_pitch_high_rate_medium.mp3,8,0.571143554,0.50311264,-0.113075452,0.036759594,0.426527384,-1.036202686,0.355599454,4,115.13,7,M,high,medium,medium,122.7391451522857,65.28178726178542,1.4606349206349207,287.5461856118235,4_M_intensity_medium_pitch_high_rate_medium,4_M_intensity_medium_pitch_high_rate_medium.mp3
868,868,868,868,868,868,868,26,5_F_intensity_medium_pitch_high_rate_slow.mp3,9,0.571143554,-0.432951122,0.320135488,0.014550941,0.75676135,-0.747289131,0.96676779,5,100.24,5,F,high,medium,slow,202.1652254700728,66.14851641823604,1.4628571428571429,205.078125,5_F_intensity_medium_pitch_high_rate_slow,5_F_intensity_medium_pitch_high_rate_slow.mp3
869,869,869,869,869,869,869,26,5_M_intensity_soft_pitch_high_rate_fast.mp3,10,-0.277259631,-0.432433217,-0.362222312,-0.113593357,-0.323599797,-1.041740347,-0.113593357,5,100.24,5,M,high,medium,fast,117.20130756316252,65.78385271768228,1.0165532879818595,295.1148784,5_M_intensity_medium_pitch_high_rate_fast,5_M_intensity_medium_pitch_high_rate_fast.mp3
870,870,870,870,870,870,870,26,6_F_intensity_loud_pitch_medium_rate_fast.mp3,11,-0.351664896,-0.367560852,-0.356684651,-1.071666652,-0.304806824,-1.049457998,0.04395934,6,106.67,14,F,medium,medium,fast,168.4680014441226,27.39847351101336,2.7951020408163267,300.5257009345794,6_F_intensity_medium_pitch_medium_rate_fast,6_F_intensity_medium_pitch_medium_rate_fast.mp3
871,871,871,871,871,871,871,26,6_M_intensity_loud_pitch_high_rate_medium.mp3,12,0.663823887,-0.020913025,-0.23593922,0.15382857,0.123902266,0.25732345,0.410175176,6,106.67,14,M,high,medium,medium,128.2178681789725,37.37472858591632,3.001859410430839,279.826562523606,6_M_intensity_medium_pitch_high_rate_medium,6_M_intensity_medium_pitch_high_rate_medium.mp3
872,872,872,872,872,872,872,26,7_F_intensity_soft_pitch_high_rate_medium.mp3,13,0.942379146,0.257642235,0.042616039,0.113026065,0.90691518,-0.449422994,1.122459281,7,82.81,11,F,high,medium,medium,199.95745874477208,29.77767451750144,3.239183673469388,203.7550403225806,7_F_intensity_medium_pitch_high_rate_medium,7_F_intensity_medium_pitch_high_rate_medium.mp3
873,873,873,873,873,873,873,26,7_M_intensity_soft_pitch_medium_rate_slow.mp3,14,1.157923246,0.15382857,-0.452001226,0.5086503,0.107488404,-0.91597516,0.833027821,7,82.81,11,M,medium,medium,slow,111.79580236601696,38.24882455919171,3.419818594104308,192.9926929860623,7_M_intensity_medium_pitch_medium_rate_slow,7_M_intensity_medium_pitch_medium_rate_slow.mp3
874,874,874,874,874,874,874,26,8_F_intensity_medium_pitch_medium_rate_fast.mp3,15,-0.427931366,-0.078129392,-0.610333362,-0.572746657,-0.310344485,-0.839451559,-0.356684651,8,96.18,9,F,medium,medium,fast,170.30776022580991,67.02834345383081,1.591247166,301.6501838287685,8_F_intensity_medium_pitch_medium_rate_fast,8_F_intensity_medium_pitch_medium_rate_fast.mp3
875,875,875,875,875,875,875,26,8_M_intensity_loud_pitch_medium_rate_medium.mp3,16,0.983181651,0.369372671,0.612463965,-0.06171553,0.148808815,-0.315683025,0.15382857,8,96.18,9,M,medium,medium,medium,106.16106568298628,69.06218032,1.904716553287982,252.0060001428605,8_M_intensity_medium_pitch_medium_rate_medium,8_M_intensity_medium_pitch_medium_rate_medium.mp3
876,876,876,876,876,876,876,26,9_F_intensity_medium_pitch_high_rate_slow.mp3,17,0.489082292,-0.310344485,-0.561352551,-0.596617395,0.123384361,0.25732345,0.368854766,9,83.32,5,F,high,medium,slow,203.2244696663408,68.23270571325969,1.750204081632653,171.40858208955223,9_F_intensity_medium_pitch_high_rate_slow,9_F_intensity_medium_pitch_high_rate_slow.mp3
877,877,877,877,877,877,877,26,9_M_intensity_medium_pitch_low_rate_medium.mp3,18,0.767637551,0.333908705,0.230612946,0.263179895,0.252303694,-0.376053539,0.576681215,9,83.32,5,M,low,medium,medium,196.2120695122095,65.58992973292736,1.225532879818594,244.7914739296156,9_M_intensity_medium_pitch_low_rate_medium,9_M_intensity_medium_pitch_low_rate_medium.mp3
878,878,878,878,878,878,878,26,10_F_intensity_loud_pitch_low_rate_medium.mp3,19,0.205445623,-0.102518036,0.323032504,0.216321824,-0.173246846,-0.125045473,0.252303694,10,90.77,6,F,low,medium,medium,129.55291453796687,68.72028232,1.3822675736961452,260.44161553856753,10_F_intensity_medium_pitch_low_rate_medium,10_F_intensity_medium_pitch_low_rate_medium.mp3
